Coverage,Length,Time,Dataset,Method,Algorithm,m,LogTime
0.88,2.9001902423659316,0.009450912475585938,Boston,SplitCP,RLM,100,-2.0245262587943484
1.0,2.8662073567357425,0.015166282653808594,Boston,RO-StabCP,RLM,1,-1.8191208543335349
0.87,2.8140737571522774,1.1972758769989014,Boston,RO-StabCP,RLM,100,0.07819423232260764
1.0,2.8646434507750294,0.015048980712890625,Boston,LOO-StabCP,RLM,1,-1.8224929144062223
0.87,2.8127748468524465,0.014523029327392578,Boston,LOO-StabCP,RLM,100,-1.8379427856366313
1.0,2.8414020038837586,0.015439748764038086,Boston,OracleCP,RLM,1,-1.8113597707930051
0.93,2.8872318596696034,1.2697272300720215,Boston,OracleCP,RLM,100,0.10371043339845618
1.0,2.857301809612312,0.9311420917510986,Boston,FullCP,RLM,1,-0.030984040871764897
0.92,2.860394896826337,73.5048897266388,Boston,FullCP,RLM,100,1.8663162303857288
1.0,3.191840134496745,0.011290311813354492,Boston,SplitCP,RLM,1,-1.9472940636596876
0.92,2.7676555079648026,0.009546995162963867,Boston,SplitCP,RLM,100,-2.020133297472662
1.0,2.8509290047370137,0.015172004699707031,Boston,RO-StabCP,RLM,1,-1.8189570314413988
0.93,2.9048503111035457,1.2061703205108643,Boston,RO-StabCP,RLM,100,0.0814086378499566
1.0,2.854945269532849,0.015481948852539062,Boston,LOO-StabCP,RLM,1,-1.8101743716485372
0.93,2.903458805035482,0.014570951461791992,Boston,LOO-StabCP,RLM,100,-1.836512088510411
1.0,2.8414020038837835,0.015372991561889648,Boston,OracleCP,RLM,1,-1.8132416111990386
0.9,2.833533036517143,1.2962450981140137,Boston,OracleCP,RLM,100,0.1126871270703394
1.0,2.7859526209440166,0.9384119510650635,Boston,FullCP,RLM,1,-0.027606469937114124
0.87,2.80515211779073,73.69166588783264,Boston,FullCP,RLM,100,1.8674183743775272
1.0,2.679296091200075,0.013827800750732422,Boston,SplitCP,RLM,1,-1.859246886974646
0.9,2.899247607381964,0.009576082229614258,Boston,SplitCP,RLM,100,-2.018812133308163
1.0,2.890681388080319,0.01779007911682129,Boston,RO-StabCP,RLM,1,-1.7498221204982836
0.9,2.854017471507796,1.2387042045593262,Boston,RO-StabCP,RLM,100,0.09296761173161745
1.0,2.880674903730534,0.01721811294555664,Boston,LOO-StabCP,RLM,1,-1.7640144476697972
0.9,2.8514980912411585,0.014986991882324219,Boston,LOO-StabCP,RLM,100,-1.824285527926025
1.0,2.8414020038838315,0.01570892333984375,Boston,OracleCP,RLM,1,-1.8038535796696489
0.96,2.972678067366068,1.2005887031555176,Boston,OracleCP,RLM,100,0.07939425257948887
1.0,2.787692091317,0.9587020874023438,Boston,FullCP,RLM,1,-0.01831632702911884
0.95,2.913989846501754,75.31298875808716,Boston,FullCP,RLM,100,1.876869882701455
1.0,2.950059769280643,0.011450052261352539,Boston,SplitCP,RLM,1,-1.9411925310738551
0.96,2.9751682692848163,0.009205102920532227,Boston,SplitCP,RLM,100,-2.035971351367534
1.0,2.8630990271432064,0.01607513427734375,Boston,RO-StabCP,RLM,1,-1.7938453906795802
0.96,2.9966267949184853,1.2070770263671875,Boston,RO-StabCP,RLM,100,0.08173498431348777
1.0,2.8626436563473727,0.016031742095947266,Boston,LOO-StabCP,RLM,1,-1.795019282290386
0.96,2.9951050705106237,0.01449894905090332,Boston,LOO-StabCP,RLM,100,-1.8386634762432863
1.0,2.841402003883782,0.015368938446044922,Boston,OracleCP,RLM,1,-1.813356128788248
0.91,2.857168401217164,1.2875900268554688,Boston,OracleCP,RLM,100,0.10977760415957524
1.0,2.8574360019167035,0.8876080513000488,Boston,FullCP,RLM,1,-0.051778767031146124
0.91,2.821665606772628,77.13602876663208,Boston,FullCP,RLM,100,1.887257276102052
1.0,2.503616351482481,0.011035919189453125,Boston,SplitCP,RLM,1,-1.9571914883036785
0.9,2.8023723054106227,0.009571075439453125,Boston,SplitCP,RLM,100,-2.019039260637051
1.0,2.8528762486161843,0.014640092849731445,Boston,RO-StabCP,RLM,1,-1.8344561689061691
0.91,2.8862208547534327,1.2058708667755127,Boston,RO-StabCP,RLM,100,0.08130080295376813
1.0,2.856144532468763,0.014707088470458984,Boston,LOO-StabCP,RLM,1,-1.8324732950744134
0.91,2.8835672990787975,0.014886856079101562,Boston,LOO-StabCP,RLM,100,-1.8271970102172064
1.0,2.8414020038837635,0.01546788215637207,Boston,OracleCP,RLM,1,-1.8105691453028958
0.93,2.8802717222109404,1.3035147190093994,Boston,OracleCP,RLM,100,0.11511593949243393
1.0,2.8558258003013766,0.8996808528900146,Boston,FullCP,RLM,1,-0.04591152212689684
0.93,2.8384028095786493,76.63566207885742,Boston,FullCP,RLM,100,1.8844309137566346
1.0,2.9458085036987027,0.010480880737304688,Boston,SplitCP,RLM,1,-1.9796022208561332
0.93,2.7987461721494333,0.009181976318359375,Boston,SplitCP,RLM,100,-2.0370638316766314
